Scaffold	Variants	Length_kb	Density_per_kb
JRIU01000179.1	7	4.041	1.732
JRIU01000117.1	5	.211	23.696
JRIU01000031.1	5	128.238	.038
JRIU01000294.1	3	.338	8.875
JRIU01000239.1	3	.215	13.953
JRIU01000209.1	3	.377	7.957
JRIU01000174.1	3	.337	8.902
JRIU01000289.1	2	.219	9.132
JRIU01000287.1	2	.331	6.042
JRIU01000183.1	2	110.511	.018
JRIU01000163.1	2	103.880	.019
JRIU01000106.1	2	.755	2.649
JRIU01000104.1	2	42.339	.047
JRIU01000062.1	2	228.550	.008
JRIU01000028.1	2	.976	2.049
JRIU01000397.1	1	1.785	.560
JRIU01000396.1	1	4.047	.247
JRIU01000375.1	1	2.465	.405
JRIU01000371.1	1	.283	3.533
JRIU01000367.1	1	.203	4.926
JRIU01000355.1	1	.367	2.724
JRIU01000305.1	1	.311	3.215
JRIU01000260.1	1	1.073	.931
JRIU01000249.1	1	103.684	.009
JRIU01000247.1	1	126.718	.007
JRIU01000246.1	1	38.089	.026
JRIU01000220.1	1	74.430	.013
JRIU01000215.1	1	40.602	.024
JRIU01000212.1	1	97.056	.010
JRIU01000210.1	1	26.756	.037
JRIU01000206.1	1	.321	3.115
JRIU01000201.1	1	241.589	.004
JRIU01000191.1	1	172.874	.005
JRIU01000188.1	1	93.523	.010
JRIU01000176.1	1	126.538	.007
JRIU01000172.1	1	.531	1.883
JRIU01000123.1	1	117.283	.008
JRIU01000116.1	1	59.626	.016
JRIU01000114.1	1	.306	3.267
JRIU01000094.1	1	79.276	.012
JRIU01000089.1	1	127.587	.007
JRIU01000088.1	1	190.015	.005
JRIU01000086.1	1	184.319	.005
JRIU01000085.1	1	103.145	.009
JRIU01000078.1	1	72.546	.013
JRIU01000067.1	1	67.078	.014
JRIU01000057.1	1	49.255	.020
JRIU01000050.1	1	8.978	.111
JRIU01000041.1	1	80.581	.012
JRIU01000037.1	1	243.759	.004
JRIU01000032.1	1	112.697	.008
JRIU01000030.1	1	102.607	.009
JRIU01000019.1	1	99.425	.010
