Module	Section	Sample Name	Source
FastQC	all_sections	CAS-55-3_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-55-3_R1_001_fastqc.zip
FastQC	all_sections	CAS-55-1_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-55-1_R2_001_fastqc.zip
FastQC	all_sections	CAS-55-2_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-55-2_R1_001_fastqc.zip
FastQC	all_sections	CAS-CTRL_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-CTRL_R1_001_fastqc.zip
FastQC	all_sections	WT-CTRL_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-CTRL_R1_001_fastqc.zip
FastQC	all_sections	CAS-55-1_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-55-1_R1_001_fastqc.zip
FastQC	all_sections	CAS-55-3_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-55-3_R2_001_fastqc.zip
FastQC	all_sections	CAS-CTRL_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-CTRL_R2_001_fastqc.zip
FastQC	all_sections	CAS-55-2_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/CAS-55-2_R2_001_fastqc.zip
FastQC	all_sections	WT-CTRL_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-CTRL_R2_001_fastqc.zip
FastQC	all_sections	WTA-55-1_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WTA-55-1_R1_001_fastqc.zip
FastQC	all_sections	STC-55-3_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-55-3_R1_001_fastqc.zip
FastQC	all_sections	WTA-55-3_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WTA-55-3_R2_001_fastqc.zip
FastQC	all_sections	STC-55-1_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-55-1_R2_001_fastqc.zip
FastQC	all_sections	WT-37-55-2_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-37-55-2_R1_001_fastqc.zip
FastQC	all_sections	WT-37-55-1_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-37-55-1_R2_001_fastqc.zip
FastQC	all_sections	STC-55-2_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-55-2_R1_001_fastqc.zip
FastQC	all_sections	STC-CTRL_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-CTRL_R1_001_fastqc.zip
FastQC	all_sections	WTA-55-2_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WTA-55-2_R2_001_fastqc.zip
FastQC	all_sections	WT-37-55-3_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-37-55-3_R1_001_fastqc.zip
FastQC	all_sections	WT-37-55-2_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-37-55-2_R2_001_fastqc.zip
FastQC	all_sections	WTA-55-3_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WTA-55-3_R1_001_fastqc.zip
FastQC	all_sections	STC-55-1_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-55-1_R1_001_fastqc.zip
FastQC	all_sections	WTA-55-1_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WTA-55-1_R2_001_fastqc.zip
FastQC	all_sections	STC-55-3_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-55-3_R2_001_fastqc.zip
FastQC	all_sections	WT-37-55-3_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-37-55-3_R2_001_fastqc.zip
FastQC	all_sections	STC-CTRL_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-CTRL_R2_001_fastqc.zip
FastQC	all_sections	WTA-55-2_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WTA-55-2_R1_001_fastqc.zip
FastQC	all_sections	STC-55-2_R2_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/STC-55-2_R2_001_fastqc.zip
FastQC	all_sections	WT-37-55-1_R1_001	/Users/zakiralibhai/Documents/PythonScripts/Work/bio/yeast_analysis/results/fastqc/WT-37-55-1_R1_001_fastqc.zip
