Sample	Unique Reads	Duplicate Reads
CAS-55-1_R1_001	1877234.0	1190187.0
CAS-55-1_R2_001	1926864.0	1140557.0
CAS-55-2_R1_001	1927023.0	1209843.0
CAS-55-2_R2_001	1992464.0	1144402.0
CAS-55-3_R1_001	2140091.0	1304886.0
CAS-55-3_R2_001	2275437.0	1169540.0
CAS-CTRL_R1_001	2176082.0	1419288.0
CAS-CTRL_R2_001	2279400.0	1315970.0
STC-55-1_R1_001	1985802.0	1240778.0
STC-55-1_R2_001	2170442.0	1056138.0
STC-55-2_R1_001	2013548.0	1178269.0
STC-55-2_R2_001	2100441.0	1091376.0
STC-55-3_R1_001	1617645.0	827287.0
STC-55-3_R2_001	1667289.0	777643.0
STC-CTRL_R1_001	2054389.0	1500813.0
STC-CTRL_R2_001	2152530.0	1402672.0
WT-37-55-1_R1_001	1875765.0	1144652.0
WT-37-55-1_R2_001	1978028.0	1042389.0
WT-37-55-2_R1_001	1992362.0	1303193.0
WT-37-55-2_R2_001	2141995.0	1153560.0
WT-37-55-3_R1_001	1796647.0	1152710.0
WT-37-55-3_R2_001	1879023.0	1070334.0
WT-CTRL_R1_001	1937255.0	1144681.0
WT-CTRL_R2_001	2205361.0	876575.0
WTA-55-1_R1_001	2051624.0	1329181.0
WTA-55-1_R2_001	2241205.0	1139600.0
WTA-55-2_R1_001	1844635.0	1174045.0
WTA-55-2_R2_001	1922018.0	1096662.0
WTA-55-3_R1_001	2062073.0	1405581.0
WTA-55-3_R2_001	2123633.0	1344021.0
