.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
CAS-55-1_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
CAS-55-1_R2_001	1	1	0.25	1	1	1	1	1	0.5	1	1
CAS-55-2_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
CAS-55-2_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
CAS-55-3_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
CAS-55-3_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
CAS-CTRL_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
CAS-CTRL_R2_001	1	1	0.25	1	1	1	1	1	0.5	0.5	1
STC-55-1_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
STC-55-1_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
STC-55-2_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
STC-55-2_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
STC-55-3_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
STC-55-3_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
STC-CTRL_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
STC-CTRL_R2_001	1	1	0.25	1	1	1	1	1	0.5	0.5	1
WT-37-55-1_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
WT-37-55-1_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
WT-37-55-2_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
WT-37-55-2_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
WT-37-55-3_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
WT-37-55-3_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
WT-CTRL_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
WT-CTRL_R2_001	1	1	0.25	1	0.5	0.5	1	1	1	0.5	1
WTA-55-1_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
WTA-55-1_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
WTA-55-2_R1_001	1	1	0.25	1	1	0.5	1	1	0.5	1	1
WTA-55-2_R2_001	1	1	0.25	1	1	0.5	1	1	0.5	0.5	1
WTA-55-3_R1_001	1	1	0.25	1	1	1	1	1	0.5	1	1
WTA-55-3_R2_001	1	1	0.25	1	1	1	1	1	0.5	1	1
