Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
CAS-55-1_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 3.260067659444204e-05)	(4, 3.260067659444204e-05)	(5, 3.260067659444204e-05)	(6, 3.260067659444204e-05)	(7, 3.260067659444204e-05)	(8, 3.260067659444204e-05)	(9, 3.260067659444204e-05)	(10, 3.260067659444204e-05)	(12, 3.260067659444204e-05)	(14, 3.260067659444204e-05)	(16, 8.15016914861051e-05)	(18, 9.780202978332612e-05)	(20, 0.0001630033829722102)	(22, 0.00027710575105275735)	(24, 0.0003423071042416414)	(26, 0.0004238087957277465)	(28, 0.0004238087957277465)	(30, 0.0005216108255110727)	(32, 0.0006520135318888408)	(34, 0.0007335152233749458)	(36, 0.0008639179297527141)	(38, 0.0009943206361304822)	(40, 0.0011084230042110294)	(42, 0.0012388257105887977)	(44, 0.0013366277403721238)	(46, 0.001483330785047113)	(48, 0.00159743315312766)	(50, 0.0018419382275859752)	(52, 0.0019397402573693013)	(54, 0.002200545670124838)	(56, 0.002412450067988711)	(58, 0.002624354465852584)	(60, 0.002982961908391447)	(62, 0.003292668336038646)	(64, 0.0038142791615497188)	(66, 0.0042869889721691284)	(68, 0.004678197091302433)	(70, 0.005053104872138517)	(72, 0.005656217389135694)	(74, 0.006536435657185629)	(76, 0.007693759676288322)	(78, 0.009144489784740993)	(80, 0.010530018540004779)	(82, 0.012225253722915766)	(84, 0.013953089582421193)	(86, 0.016137334914248812)	(88, 0.01902249479285693)	(90, 0.021777251965087285)	(92, 0.024841715564964836)	(94, 0.028525592020136784)	(96, 0.033268990464628105)	(98, 0.0386970031176027)	(100, 0.04585285163008273)	(102, 0.05330210623191274)	(104, 0.06216949026560097)	(106, 0.07072716787164202)	(108, 0.08132238776483566)	(110, 0.09374324554731808)	(112, 0.10733772768720042)	(114, 0.12331205921847702)	(116, 0.1412098306688257)	(118, 0.16111254372973255)	(120, 0.18311800043098095)	(122, 0.20709579806619305)	(124, 0.233714250505555)	(126, 0.26267995165971675)	(128, 0.29493832114991714)	(130, 0.32983734544426735)	(132, 0.3675563282640368)	(134, 0.4085679794198449)	(136, 0.4512748657585639)	(138, 0.49725812009502446)
CAS-55-1_R1_001 - polya	(1, 0.014116092965393404)	(2, 0.020147218135365182)	(3, 0.026699954130848032)	(4, 0.03383950230503084)	(5, 0.04039223830051369)	(6, 0.047303581738535404)	(7, 0.053399908261696064)	(8, 0.05910502666572342)	(9, 0.06458194033358969)	(10, 0.0740524368842751)	(12, 0.08733721259651023)	(14, 0.0987148487279705)	(16, 0.10953827335732526)	(18, 0.11931847633565787)	(20, 0.12927798303525992)	(22, 0.1393515921029425)	(24, 0.1490339930514918)	(26, 0.15811328148304388)	(28, 0.16699696585502935)	(30, 0.1760925546248787)	(32, 0.1857260545585363)	(34, 0.195881165317705)	(36, 0.20469964833650156)	(38, 0.21343662966381205)	(40, 0.22186390456347532)	(42, 0.2302422784482469)	(44, 0.2399246793967962)	(46, 0.24890616579856498)	(48, 0.25827886031946706)	(50, 0.2667713365723192)	(52, 0.2761114304166269)	(54, 0.2841474971971568)	(56, 0.2936668947627339)	(58, 0.30321889300490545)	(60, 0.31208627703859365)	(62, 0.321035162763768)	(64, 0.33037525660807565)	(66, 0.3392589409800611)	(68, 0.34856643414777433)	(70, 0.35674920397297927)	(72, 0.365583987330073)	(74, 0.3748099788063002)	(76, 0.3841989736654995)	(78, 0.39324566142045714)	(80, 0.40123282718609543)	(82, 0.40969270276235314)	(84, 0.41947290574068574)	(86, 0.42925310871901834)	(88, 0.43807159173781496)	(90, 0.4470856788161781)	(92, 0.4564257726604858)	(94, 0.4653094570324713)	(96, 0.4733455238130012)	(98, 0.48337023186579214)	(100, 0.49306893315263867)	(102, 0.503713054060724)	(104, 0.5123522333582511)	(106, 0.5218879312621254)	(108, 0.5308042163107053)	(110, 0.5405844192890379)	(112, 0.5510492364758538)	(114, 0.5598351188180559)	(116, 0.5682623937177191)	(118, 0.5775209858705408)	(120, 0.5861927658446624)	(122, 0.5957610644251311)	(124, 0.6054760660502748)	(126, 0.6142293477158824)	(128, 0.6242214550920789)	(130, 0.6355012891937559)	(132, 0.6446946799933886)	(134, 0.6550779954887184)	(136, 0.6647603964372677)	(138, 0.6748666061815447)
CAS-55-1_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 3.260067659444204e-05)	(4, 3.260067659444204e-05)	(5, 3.260067659444204e-05)	(6, 3.260067659444204e-05)	(7, 3.260067659444204e-05)	(8, 3.260067659444204e-05)	(9, 3.260067659444204e-05)	(10, 3.260067659444204e-05)	(12, 3.260067659444204e-05)	(14, 3.260067659444204e-05)	(16, 8.15016914861051e-05)	(18, 9.780202978332612e-05)	(20, 0.00019560405956665222)	(22, 0.0003097064276471994)	(24, 0.00037490778083608346)	(26, 0.0003912081191333045)	(28, 0.0003912081191333045)	(30, 0.0004890101489166306)	(32, 0.0006194128552943987)	(34, 0.0007009145467805039)	(36, 0.000831317253158272)	(38, 0.0009617199595360402)	(40, 0.0010595219893193663)	(42, 0.0012714263871832397)	(44, 0.0014507301084526708)	(46, 0.001581132814830439)	(48, 0.0017604365360998702)	(50, 0.001988641272260965)	(52, 0.002102743640341512)	(54, 0.0023309483765026062)	(56, 0.0025591531126637)	(58, 0.0027873578488247946)	(60, 0.003145965291363657)	(62, 0.0035208730721997404)	(64, 0.004107685250899697)	(66, 0.00462929607641077)	(68, 0.005004203857246853)	(70, 0.005346510961488495)	(72, 0.005965923816782893)	(74, 0.00686244242313005)	(76, 0.008117568472016067)	(78, 0.009600899257063181)	(80, 0.010970127674029747)	(82, 0.012681663195237954)	(84, 0.014327997363257277)	(86, 0.016479642018490455)	(88, 0.019283300205612468)	(90, 0.021956555686356714)	(92, 0.025004718947937047)	(94, 0.02875379675629788)	(96, 0.03351349553908642)	(98, 0.038811105485683256)	(100, 0.04585285163008273)	(102, 0.05336730758510162)	(104, 0.06218579060389819)	(106, 0.0707108675333448)	(108, 0.08117568472016068)	(110, 0.0935965425026431)	(112, 0.10715842396593099)	(114, 0.12292085109934373)	(116, 0.14054151679863963)	(118, 0.16049313087443817)	(120, 0.18241708588420044)	(122, 0.20613407810665701)	(124, 0.23244282411837175)	(126, 0.26119662087466966)	(128, 0.29291707920106175)	(130, 0.327375994361387)	(132, 0.364768970415212)	(134, 0.40490040330297017)	(136, 0.4468085730651254)	(138, 0.49160190270588877)
CAS-55-1_R2_001 - polya	(1, 0.014279096348365614)	(2, 0.022103258731031705)	(3, 0.030449031939208865)	(4, 0.035795542900697364)	(5, 0.04427171881525229)	(6, 0.0520306798447295)	(7, 0.05861601651680679)	(8, 0.06692918904838951)	(9, 0.07315591827792794)	(10, 0.08197440129672451)	(12, 0.09374324554731808)	(14, 0.10324634277459795)	(16, 0.11191812274871953)	(18, 0.12024759561859946)	(20, 0.12976699318417656)	(22, 0.13956349650080638)	(24, 0.14900139237489735)	(26, 0.1580317797915578)	(28, 0.16552993540827948)	(30, 0.1729139886569206)	(32, 0.1816835706608255)	(34, 0.19025754860516375)	(36, 0.19780460523677706)	(38, 0.20701429637470697)	(40, 0.21578387837861185)	(42, 0.22404814989530292)	(44, 0.2323287217502912)	(46, 0.24158731390311275)	(48, 0.2505688003048815)	(50, 0.25832776133435875)	(52, 0.26706474266166924)	(54, 0.2751334101187936)	(56, 0.2839844938141846)	(58, 0.29206946160960623)	(60, 0.30002402669865014)	(62, 0.30854910362809673)	(64, 0.3160798599214128)	(66, 0.3245560358359677)	(68, 0.3327877066760644)	(70, 0.34155728867996926)	(72, 0.3513211913200046)	(74, 0.36007447298561235)	(76, 0.37050668949583376)	(78, 0.37877096101252483)	(80, 0.38799695248875193)	(82, 0.3972392443032763)	(84, 0.4061718296901534)	(86, 0.4144524015451416)	(88, 0.4239717991107187)	(90, 0.43428991325285965)	(92, 0.44416791826097557)	(94, 0.45354061278187763)	(96, 0.46253839952194364)	(98, 0.47181329201306244)	(100, 0.48043617097229235)	(102, 0.48940135703576393)	(104, 0.49732332144821334)	(106, 0.5066960159691154)	(108, 0.5149276868092121)	(110, 0.5235831664450364)	(112, 0.5327602569063719)	(114, 0.5413505351890073)	(116, 0.5491094962184845)	(118, 0.5583191873564144)	(120, 0.5673495747730748)	(122, 0.576722269293977)	(124, 0.5865024722723096)	(126, 0.5952231532613228)	(128, 0.6051826599609248)	(130, 0.6141478460243963)	(132, 0.6232434347942457)	(134, 0.6328117333747145)	(136, 0.6425593356764526)	(138, 0.6511333136207909)
CAS-55-1_R2_001 - polyg	(1, 0.13571661666266222)	(2, 0.13878108026253977)	(3, 0.140345912739073)	(4, 0.14210634927517285)	(5, 0.1437037824283005)	(6, 0.14497520881548376)	(7, 0.1461814338494781)	(8, 0.14761586361963355)	(9, 0.14947410218551677)	(10, 0.15147904379607494)	(12, 0.15434790333638584)	(14, 0.1560268381809996)	(16, 0.15685815543415788)	(18, 0.15775467404050503)	(20, 0.15824368418942167)	(22, 0.15892829839790495)	(24, 0.15956401159149658)	(26, 0.15987371801914377)	(28, 0.1600693220787104)	(30, 0.1601997247850882)	(32, 0.16049313087443817)	(34, 0.16077023662549092)	(36, 0.16090063933186868)	(38, 0.1610473423765437)	(40, 0.16116144474462424)	(42, 0.16130814778929922)	(44, 0.1613733491424881)	(46, 0.16143855049567699)	(48, 0.1615363525254603)	(50, 0.1616015538786492)	(52, 0.1616830555701353)	(54, 0.1616993559084325)	(56, 0.16181345827651306)	(58, 0.16194386098289085)	(60, 0.1620742636892686)	(62, 0.16220466639564637)	(64, 0.16235136944032136)	(66, 0.1624654718084019)	(68, 0.16253067316159078)	(70, 0.16257957417648247)	(72, 0.1625958745147797)	(74, 0.16262847519137413)	(76, 0.16279147857434634)	(78, 0.162840379589238)	(80, 0.1629218812807241)	(82, 0.16297078229561576)	(84, 0.16297078229561576)	(86, 0.16306858432539909)	(88, 0.16318268669347963)	(90, 0.16336199041474908)	(92, 0.16367169684239627)	(94, 0.1638510005636657)	(96, 0.16407920529982678)	(98, 0.164388911727474)	(100, 0.16460081612533786)	(102, 0.16473121883171563)	(104, 0.1649268228912823)	(106, 0.16510612661255172)	(108, 0.16526912999552393)	(110, 0.16538323236360447)	(112, 0.16567663845295444)	(114, 0.16593744386571)	(116, 0.1661819489401683)	(118, 0.16637755299973495)	(120, 0.1667198601039766)	(122, 0.1669643651784349)	(124, 0.16720887025289322)	(126, 0.16753487701883765)	(128, 0.16782828310818762)	(130, 0.16830099291880704)	(132, 0.1686759006996431)	(134, 0.16901820780388477)	(136, 0.16953981862939582)	(138, 0.17017553182298745)
CAS-55-2_R1_001 - illumina_universal_adapter	(1, 3.1878951794561835e-05)	(2, 3.1878951794561835e-05)	(3, 3.1878951794561835e-05)	(4, 3.1878951794561835e-05)	(5, 3.1878951794561835e-05)	(6, 6.375790358912367e-05)	(7, 6.375790358912367e-05)	(8, 9.56368553836855e-05)	(9, 9.56368553836855e-05)	(10, 0.00012751580717824734)	(12, 0.00012751580717824734)	(14, 0.0001753342348700901)	(16, 0.000191273710767371)	(18, 0.00023909213845921376)	(20, 0.0002550316143564947)	(22, 0.0002709710902537756)	(24, 0.00031878951794561835)	(26, 0.0003506684697401802)	(28, 0.0004463053251238657)	(30, 0.0005100632287129894)	(32, 0.0005260027046102703)	(34, 0.0006057000840966749)	(36, 0.0006694579876857985)	(38, 0.0007013369394803604)	(40, 0.000765094843069484)	(42, 0.0008766711743504504)	(44, 0.0009882475056314168)	(46, 0.0011635817405015068)	(48, 0.0012273396440906307)	(50, 0.001354855451268878)	(52, 0.0016417660174199344)	(54, 0.0017533423487009008)	(56, 0.0018171002522900245)	(58, 0.0018808581558791481)	(60, 0.0019605555353655528)	(62, 0.0022474661015166094)	(64, 0.0023909213845921375)	(66, 0.0025503161435649468)	(68, 0.0027894082820241603)	(70, 0.0030125609445860934)	(72, 0.0033472899384289923)	(74, 0.0034429267938126777)	(76, 0.0037298373599637343)	(78, 0.004128324257395757)	(80, 0.004622448010211466)	(82, 0.005068753335335331)	(84, 0.005658513943534725)	(86, 0.0065511245937824565)	(88, 0.007268401009160099)	(90, 0.008097253755818705)	(92, 0.009515867110676708)	(94, 0.0107750857065619)	(96, 0.012464670151673678)	(98, 0.015254078433697837)	(100, 0.01791597090854375)	(102, 0.02086477394954072)	(104, 0.02448303497822349)	(106, 0.028659177663311088)	(108, 0.03353665728787905)	(110, 0.03901983699654368)	(112, 0.04558690106622342)	(114, 0.05215396513590316)	(116, 0.060139642560440895)	(118, 0.06965550967111761)	(120, 0.07961768210691818)	(122, 0.09090283104219307)	(124, 0.10441950660308728)	(126, 0.11879691386243468)	(128, 0.13400317386844068)	(130, 0.15156847630724424)	(132, 0.1703770578660357)	(134, 0.19149686342993294)	(136, 0.21421061658355822)	(138, 0.24062232814535273)
CAS-55-2_R1_001 - polya	(1, 0.017692818245981817)	(2, 0.024961219255141914)	(3, 0.0320702255053292)	(4, 0.04010372135755878)	(5, 0.04890231205285785)	(6, 0.056234470965607075)	(7, 0.06378978254091823)	(8, 0.07335346807928678)	(9, 0.080685626992036)	(10, 0.09230550492115379)	(12, 0.10778273601741356)	(14, 0.11881285333833194)	(16, 0.13035303388796332)	(18, 0.14120781697401164)	(20, 0.1521582369154436)	(22, 0.16451133073583635)	(24, 0.17546175067726832)	(26, 0.18547174154076074)	(28, 0.19557736925963687)	(30, 0.20600178649645856)	(32, 0.21642620373328028)	(34, 0.22822141589726816)	(36, 0.2393152911217757)	(38, 0.2492296451298844)	(40, 0.25978157817388436)	(42, 0.27149709295838587)	(44, 0.2812361127316245)	(46, 0.2933979328412498)	(48, 0.3039817448370444)	(50, 0.31432646469437964)	(52, 0.324958095117866)	(54, 0.33638669933621645)	(56, 0.34725742189816206)	(58, 0.35780935494216204)	(60, 0.36797874056462726)	(62, 0.37873788679529186)	(64, 0.3894970330259565)	(66, 0.40070248458174496)	(68, 0.41117472024625856)	(70, 0.42166289538666935)	(72, 0.4335537444060409)	(74, 0.4457155645156663)	(76, 0.45671380288479013)	(78, 0.46744107016366016)	(80, 0.47745106102715257)	(82, 0.4892143942393459)	(84, 0.501137122210512)	(86, 0.5118962684411766)	(88, 0.5237074200810619)	(90, 0.5355026322450497)	(92, 0.5466443258972491)	(94, 0.5586308117720042)	(96, 0.56967686856882)	(98, 0.5799737699984634)	(100, 0.5912907978855328)	(102, 0.6026715836761916)	(104, 0.6144986747919738)	(106, 0.6266923738533938)	(108, 0.6374037016563665)	(110, 0.6496292796695811)	(112, 0.6620620708694602)	(114, 0.6723270933473091)	(116, 0.6820501736446505)	(118, 0.693430959435309)	(120, 0.7054174453100642)	(122, 0.7173242338053332)	(124, 0.7291035064934237)	(126, 0.7402611396215204)	(128, 0.7512115595629523)	(130, 0.7632139849136048)	(132, 0.7761568393421969)	(134, 0.7893069069574538)	(136, 0.8017556376332301)	(138, 0.8137740024597799)
CAS-55-2_R2_001 - illumina_universal_adapter	(1, 3.1878951794561835e-05)	(2, 3.1878951794561835e-05)	(3, 3.1878951794561835e-05)	(4, 3.1878951794561835e-05)	(5, 3.1878951794561835e-05)	(6, 6.375790358912367e-05)	(7, 6.375790358912367e-05)	(8, 9.56368553836855e-05)	(9, 9.56368553836855e-05)	(10, 9.56368553836855e-05)	(12, 9.56368553836855e-05)	(14, 0.00011157633128096642)	(16, 0.00015939475897280917)	(18, 0.00023909213845921376)	(20, 0.0002550316143564947)	(22, 0.0002550316143564947)	(24, 0.0002869105661510565)	(26, 0.00033472899384289926)	(28, 0.0003666079456374611)	(30, 0.00041442637332930385)	(32, 0.00041442637332930385)	(34, 0.0004781842769184275)	(36, 0.0005419421805075512)	(38, 0.000573821132302113)	(40, 0.0006216395599939557)	(42, 0.0007013369394803604)	(44, 0.0008288527466586077)	(46, 0.0009882475056314168)	(48, 0.0010679448851178214)	(50, 0.0012273396440906307)	(52, 0.001514250210241687)	(54, 0.0016258265415226535)	(56, 0.00173740287280362)	(58, 0.0018171002522900247)	(60, 0.0019286765835709908)	(62, 0.002231526625619328)	(64, 0.0023909213845921375)	(66, 0.002502497715873104)	(68, 0.0027256503784350364)	(70, 0.0029488030409969695)	(72, 0.0032994715107371496)	(74, 0.0034429267938126777)	(76, 0.003745776835861015)	(78, 0.0041761426850876)	(80, 0.004734024341492432)	(82, 0.00521220861841086)	(84, 0.00575415079891841)	(86, 0.006630821973268862)	(88, 0.007395916816338346)	(90, 0.008256648514791515)	(92, 0.00975495924913592)	(94, 0.011030117320918395)	(96, 0.01268782281423561)	(98, 0.015397533716773364)	(100, 0.01810724461931112)	(102, 0.020960410804924404)	(104, 0.024610550785401735)	(106, 0.028722935566900212)	(108, 0.033520717811981765)	(110, 0.038828563285776316)	(112, 0.04517247469289412)	(114, 0.0517873571902657)	(116, 0.05950206352454966)	(118, 0.06903387011112365)	(120, 0.0791076188782052)	(122, 0.09042464676527465)	(124, 0.10378192756719605)	(126, 0.11806369797115975)	(128, 0.13309462374229564)	(130, 0.15056428932571553)	(132, 0.16887874713169132)	(134, 0.18998261321969123)	(136, 0.2123935163312682)	(138, 0.23808795147768508)
CAS-55-2_R2_001 - polya	(1, 0.022474661015166094)	(2, 0.03280344139660413)	(3, 0.04332349548880953)	(4, 0.05231335989487597)	(5, 0.06162201381888802)	(6, 0.07134509411622939)	(7, 0.08125944812433811)	(8, 0.08954797559092419)	(9, 0.09691201345546797)	(10, 0.10854783086048304)	(12, 0.12362657505931078)	(14, 0.13800398231865818)	(16, 0.1506121077534074)	(18, 0.16055834071331065)	(20, 0.17103057637782423)	(22, 0.18263451483104476)	(24, 0.1927879609776127)	(26, 0.203642744063661)	(28, 0.21401934287279087)	(30, 0.2235989678870567)	(32, 0.23335392713619263)	(34, 0.2439696180837817)	(36, 0.2533101509595883)	(38, 0.2630969891605188)	(40, 0.27396771172246437)	(42, 0.28335606302596283)	(44, 0.29370078288329815)	(46, 0.3036310763673042)	(48, 0.31376858303797484)	(50, 0.32288596325121954)	(52, 0.33362917000598685)	(54, 0.34465928732690526)	(56, 0.35374478858835534)	(58, 0.36356350574108043)	(60, 0.3725214911953523)	(62, 0.3833762742814006)	(64, 0.3943745126505245)	(66, 0.4040338350442767)	(68, 0.41421916014263915)	(70, 0.4225555060369171)	(72, 0.4325654969004095)	(74, 0.4437868879320953)	(76, 0.4550879763432675)	(78, 0.46581524362213755)	(80, 0.47697287675023414)	(82, 0.48887966524550297)	(84, 0.5008661511202582)	(86, 0.512199118483225)	(88, 0.5229263857620949)	(90, 0.5345781426430074)	(92, 0.5455923204880284)	(94, 0.5556820087310074)	(96, 0.5657557574980889)	(98, 0.5769293301020828)	(100, 0.5868915025378834)	(102, 0.5977622250998289)	(104, 0.6088242213725419)	(106, 0.620125309783714)	(108, 0.6301353006472066)	(110, 0.6411494784922276)	(112, 0.6522274142408379)	(114, 0.6618389182068982)	(116, 0.6708925405165538)	(118, 0.6818270209820885)	(120, 0.6928571383030069)	(122, 0.7035206476782878)	(124, 0.7140088228186987)	(126, 0.7239391163027047)	(128, 0.7346982625333693)	(130, 0.7449951639630128)	(132, 0.75573837071778)	(134, 0.7669757012253631)	(136, 0.7778942422150006)	(138, 0.7881752041687469)
CAS-55-2_R2_001 - polyg	(1, 0.17979728812132875)	(2, 0.18419658346897827)	(3, 0.18614119952844654)	(4, 0.18805393663612024)	(5, 0.19015794745456133)	(6, 0.19187941085146767)	(7, 0.1929632952124828)	(8, 0.19532233764528034)	(9, 0.19764950112628338)	(10, 0.2003910909806157)	(12, 0.2037065019672501)	(14, 0.20577863383389663)	(16, 0.20716536823696008)	(18, 0.20810579731489964)	(20, 0.20896652901335283)	(22, 0.20954035014565492)	(24, 0.21044890027179997)	(26, 0.2107995687415401)	(28, 0.2109749029764102)	(30, 0.21122993459076672)	(32, 0.21153278463281505)	(34, 0.21177187677127426)	(36, 0.21201096890973348)	(38, 0.212154424192809)	(40, 0.21236163737947367)	(42, 0.2124891531866519)	(44, 0.2125688505661383)	(46, 0.21269636637331654)	(48, 0.21279200322870023)	(50, 0.2129035795599812)	(52, 0.21301515589126216)	(54, 0.21304703484305673)	(56, 0.21309485327074856)	(58, 0.21314267169844042)	(60, 0.21320642960202954)	(62, 0.2132383085538241)	(64, 0.21336582436100235)	(66, 0.21346146121638604)	(68, 0.21354115859587244)	(70, 0.21365273492715342)	(72, 0.21374837178253708)	(74, 0.21381212968612623)	(76, 0.21387588758971532)	(78, 0.21393964549330446)	(80, 0.21401934287279087)	(82, 0.21417873763176368)	(84, 0.2143221929148392)	(86, 0.2144975271497093)	(88, 0.2148322561435522)	(90, 0.21497571142662775)	(92, 0.21511916670970327)	(94, 0.21539013779995703)	(96, 0.21561329046251898)	(98, 0.21572486679379993)	(100, 0.21590020102867002)	(102, 0.21607553526354012)	(104, 0.21620305107071836)	(106, 0.2163305668778966)	(108, 0.21652184058866397)	(110, 0.21668123534763678)	(112, 0.2169043880101987)	(114, 0.21712754067276063)	(116, 0.21731881438352801)	(118, 0.21762166442557634)	(120, 0.2178448170881383)	(122, 0.21806796975070022)	(124, 0.2183548803168513)	(126, 0.21860991193120777)	(128, 0.2188968224973588)	(130, 0.2191677935876126)	(132, 0.2194228252019691)	(134, 0.2197416147199147)	(136, 0.22006040423786033)	(138, 0.22061828589426516)
