Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CAS-55-1_R1_001	(1.0, 44.62996697696041)	(2.0, 21.181929084720938)	(3.0, 9.833344593688654)	(4.0, 4.484078938013055)	(5.0, 2.22295685936841)	(6.0, 1.2665635515052283)	(7.0, 0.7773965196688172)	(8.0, 0.5627067623993354)	(9.0, 0.5024275917337189)	('>10', 14.204422999339213)	('>50', 0.33420612260217575)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CAS-55-1_R2_001	(1.0, 46.682666711387114)	(2.0, 20.883244120144255)	(3.0, 9.318980383370313)	(4.0, 4.299297065159611)	(5.0, 2.0834681472817103)	(6.0, 1.1476111072855602)	(7.0, 0.7154218431505572)	(8.0, 0.5775869774211919)	(9.0, 0.5047448947798835)	('>10', 13.468369796560578)	('>50', 0.1989821429500646)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.1196268105092207)	('>5k', 0.0)	('>10k+', 0.0)
CAS-55-2_R1_001	(1.0, 44.66286025477694)	(2.0, 21.086016112060495)	(3.0, 10.03137254275967)	(4.0, 4.781868776561227)	(5.0, 2.505569207992938)	(6.0, 1.5049037435944312)	(7.0, 0.9339467465596549)	(8.0, 0.6337458313846313)	(9.0, 0.5417995055645324)	('>10', 13.129318962501923)	('>50', 0.18859831624356316)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CAS-55-2_R2_001	(1.0, 47.3887675030847)	(2.0, 20.45918623251454)	(3.0, 9.454353195631633)	(4.0, 4.604896633513706)	(5.0, 2.379060720917818)	(6.0, 1.3363472147242272)	(7.0, 0.8218388002851377)	(8.0, 0.6434199695246676)	(9.0, 0.5238808893928902)	('>10', 12.132537402106923)	('>50', 0.10122635502659502)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.15448508327724195)	('>5k', 0.0)	('>10k+', 0.0)
CAS-55-3_R1_001	(1.0, 45.01721022111274)	(2.0, 21.654455413186806)	(3.0, 10.517666138835256)	(4.0, 4.934923332920962)	(5.0, 2.475512272443612)	(6.0, 1.2431681918832578)	(7.0, 0.800483636740619)	(8.0, 0.5673156398118872)	(9.0, 0.431950670993635)	('>10', 12.205856839027222)	('>50', 0.15145764304398468)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CAS-55-3_R2_001	(1.0, 50.125659214936604)	(2.0, 20.69444906129196)	(3.0, 9.4129154500547)	(4.0, 4.36793024814644)	(5.0, 2.0493140736076683)	(6.0, 1.0983457600873823)	(7.0, 0.6657895668449068)	(8.0, 0.47622029669747357)	(9.0, 0.4030935764347935)	('>10', 10.415717972320579)	('>50', 0.06224270355616779)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.22832207602141694)	('>10k+', 0.0)
CAS-CTRL_R1_001	(1.0, 43.43721471990693)	(2.0, 21.729328720484002)	(3.0, 10.508915664972628)	(4.0, 4.97141106296149)	(5.0, 2.4368605248576913)	(6.0, 1.1863103867228357)	(7.0, 0.7234886863392201)	(8.0, 0.4466691732861577)	(9.0, 0.3327993005855744)	('>10', 13.668448374769776)	('>50', 0.5540406894388868)	('>100', 0.004512695674792126)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CAS-CTRL_R2_001	(1.0, 47.12992020186447)	(2.0, 21.029608146263072)	(3.0, 9.882836660336174)	(4.0, 4.390140337623364)	(5.0, 2.1714801018944563)	(6.0, 1.0706120663735033)	(7.0, 0.5991553159583496)	(8.0, 0.3794669355298101)	(9.0, 0.2954426866695805)	('>10', 12.530332162847754)	('>50', 0.3362970473687668)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.18470833727065236)	('>5k', 0.0)	('>10k+', 0.0)
STC-55-1_R1_001	(1.0, 44.96624127025288)	(2.0, 21.332802709050796)	(3.0, 9.976147779125979)	(4.0, 4.464795167357223)	(5.0, 2.308230308263522)	(6.0, 1.1127426384585095)	(7.0, 0.6393321844205306)	(8.0, 0.4317967215496805)	(9.0, 0.3302122455112041)	('>10', 14.02762467698085)	('>50', 0.4100742990288105)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
STC-55-1_R2_001	(1.0, 52.568848932028956)	(2.0, 19.39835940789924)	(3.0, 8.504980078693748)	(4.0, 3.7189395595101873)	(5.0, 1.7231003915222125)	(6.0, 0.818035218123404)	(7.0, 0.5185737389791959)	(8.0, 0.4001718552496073)	(9.0, 0.3527590537587244)	('>10', 11.57416194765495)	('>50', 0.10818427726844075)	('>100', 0.005909251570644092)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.30797628774062735)	('>10k+', 0.0)
STC-55-2_R1_001	(1.0, 45.27252173422536)	(2.0, 22.6174821202713)	(3.0, 10.962870275801718)	(4.0, 5.197859479962681)	(5.0, 2.6135325210726665)	(6.0, 1.3042335301755759)	(7.0, 0.8231893774519037)	(8.0, 0.6000410841827306)	(9.0, 0.5101039968140905)	('>10', 10.044991535284222)	('>50', 0.053174344757760825)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
STC-55-2_R2_001	(1.0, 48.88781836560259)	(2.0, 21.78441547321569)	(3.0, 10.32898397068568)	(4.0, 4.7164141808981075)	(5.0, 2.292757508529799)	(6.0, 1.1896302071675584)	(7.0, 0.7374646920602003)	(8.0, 0.5606157606081645)	(9.0, 0.47491689429637285)	('>10', 8.844654422546611)	('>50', 0.022149855915827188)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.16017866847337422)	('>5k', 0.0)	('>10k+', 0.0)
