#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	68728	252106	99.9544	40.1151	39.3	51.7
CM007965.1	1	844051	223346	843469	99.931	39.17	39.3	55.5
CM007966.1	1	341087	93885	338753	99.3157	40.7481	39.3	52.5
CM007967.1	1	1575129	423290	1574702	99.9729	39.7888	39.3	54
CM007968.1	1	572496	160002	572114	99.9333	41.3567	39.3	56
CM007969.1	1	277781	75119	276927	99.6926	40.0138	39.3	54.7
CM007970.1	1	1092105	294818	1091593	99.9531	39.9921	39.3	56.7
CM007971.1	1	564939	154991	564777	99.9713	40.6018	39.3	54.9
CM007972.1	1	430780	116605	430591	99.9561	40.0286	39.3	57.1
CM007973.1	1	762303	212534	762017	99.9625	41.2908	39.3	54.1
CM007974.1	1	683383	181570	682881	99.9265	39.3402	39.3	58.3
CM007975.1	1	1084257	298551	1082240	99.814	40.7605	39.3	53.4
LYZE01000019.1	1	3688	3957	2984	80.9111	155.091	39	0.021
LYZE01000020.1	1	19305	407765	18635	96.5294	3096.8	39.1	9.91
LYZE01000021.1	1	11673	169942	11421	97.8412	2143.77	39.1	0.00754
CM007976.1	1	929095	256363	929049	99.995	40.8757	39.3	56.6
CM007977.1	1	793416	212414	793063	99.9555	39.6485	39.3	55
CM007978.1	1	1108329	300058	1107821	99.9542	40.1042	39.3	56.6
CM007979.1	1	986200	266334	985653	99.9445	39.9828	39.3	53.8
CM007980.1	1	6300	29517	6300	100	676.029	39.3	57.9
CM007981.1	1	94871	135707	94639	99.7555	210.53	39.3	54.4
