#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	54572	252086	99.9465	31.794	39.1	51.9
CM007965.1	1	844051	188105	843427	99.9261	32.9017	39.2	55.7
CM007966.1	1	341087	76488	340429	99.8071	33.0744	39.1	52.3
CM007967.1	1	1575129	359821	1574542	99.9627	33.7276	39.2	54.3
CM007968.1	1	572496	132156	572091	99.9293	34.079	39.2	56.2
CM007969.1	1	277781	60790	276897	99.6818	32.2886	39.1	54.9
CM007970.1	1	1092105	251359	1091507	99.9452	33.994	39.2	56.7
CM007971.1	1	564939	128502	564675	99.9533	33.5482	39.2	53.8
CM007972.1	1	430780	95555	430578	99.9531	32.745	39.2	57.3
CM007973.1	1	762303	179160	762043	99.9659	34.6939	39.2	54.2
CM007974.1	1	683383	153079	682793	99.9137	33.0815	39.2	58.3
CM007975.1	1	1084257	253901	1082299	99.8194	34.5613	39.2	53.3
LYZE01000019.1	1	3688	2953	2880	78.0911	116.234	39.1	0
LYZE01000020.1	1	19305	312169	18569	96.1875	2361.66	39	10.4
LYZE01000021.1	1	11673	129065	11396	97.627	1622.35	39	0.0115
CM007976.1	1	929095	214689	929045	99.9946	34.1361	39.2	56.8
CM007977.1	1	793416	177173	793001	99.9477	32.9725	39.2	55.2
CM007978.1	1	1108329	253037	1107749	99.9477	33.7096	39.2	56.7
CM007979.1	1	986200	224987	985672	99.9465	33.6753	39.1	53.9
CM007980.1	1	6300	55943	6300	100	1282.38	39.1	57.9
CM007981.1	1	94871	309558	94856	99.9842	479.681	39.1	54.4
