#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	529	283	100	203.117	39.3	55.2
JRIU01000370.1	1	1261	565	1261	100	62.1879	39.2	58
JRIU01000369.1	1	339	2257	339	100	768.195	39.3	58.9
JRIU01000368.1	1	300	141	300	100	59.59	39	54.4
JRIU01000367.1	1	203	119	203	100	68.6847	39.3	56.4
JRIU01000366.1	1	243	189	243	100	83.535	39.3	59.9
JRIU01000365.1	1	1642	1573	1642	100	134.683	39.2	60
JRIU01000364.1	1	1260	569	1260	100	62.0183	39.3	58.4
JRIU01000363.1	1	639	315	639	100	68.2551	39.2	60
JRIU01000362.1	1	346	164	346	100	57.7832	39.2	58.7
JRIU01000361.1	1	329	164	329	100	62.3617	39.1	59.9
JRIU01000360.1	1	466	246	466	100	71.4142	39.2	60
JRIU01000359.1	1	1539	1130	1539	100	101.432	39.2	59.1
JRIU01000358.1	1	473	218	473	100	62.4968	39.2	60
JRIU01000357.1	1	607	514	607	100	93.1499	39.2	47.5
JRIU01000356.1	1	344	2720	344	100	893.968	39.3	59.9
JRIU01000355.1	1	367	3439	367	100	1044.52	39.2	60
JRIU01000354.1	1	330	250	330	100	90.5758	39	41
JRIU01000353.1	1	222	2304	222	100	1145.04	39.3	57.9
JRIU01000352.1	1	244	1375	244	100	569.201	39.3	59.8
JRIU01000351.1	1	781	334	781	100	59.5365	39.2	55.4
JRIU01000350.1	1	730	412	730	100	72.6877	39.1	60
JRIU01000349.1	1	309	139	309	100	57.4563	39.1	59.8
JRIU01000348.1	1	216	1388	216	100	626.278	39.4	59.9
JRIU01000347.1	1	210	90	210	100	52.2	39.2	60
JRIU01000346.1	1	394	210	394	100	64.8604	38.9	59.3
JRIU01000345.1	1	344	142	344	100	56.2326	39.3	60
JRIU01000344.1	1	210	2108	210	100	968.743	39.1	60
JRIU01000343.1	1	220	173	220	100	78.6773	39.3	58.3
JRIU01000342.1	1	303	168	303	100	66.1518	39.1	58
JRIU01000341.1	1	236	97	236	100	48.7034	39.3	56.4
JRIU01000340.1	1	278	249	278	100	99.8813	39.2	56.8
JRIU01000339.1	1	387	1403	387	100	425.488	39.3	60
JRIU01000338.1	1	479	3945	479	100	1053.3	39.2	58.7
JRIU01000337.1	1	282	1119	282	100	310.11	39.2	56.4
JRIU01000336.1	1	216	221	216	100	107.537	39.1	58.2
JRIU01000335.1	1	584	256	584	100	60.6558	39.2	60
JRIU01000334.1	1	433	326	433	100	89.9469	39.3	59.8
JRIU01000333.1	1	785	3101	785	100	510.502	39.3	59.9
JRIU01000332.1	1	386	1982	386	100	600.124	39.3	59.9
JRIU01000331.1	1	901	544	901	100	77.0677	39.3	53.9
JRIU01000330.1	1	256	293	256	100	98.2695	39.3	55.1
JRIU01000329.1	1	241	205	241	100	90.0373	39.3	57.9
JRIU01000328.1	1	217	178	217	100	79.8203	39.4	59.8
JRIU01000327.1	1	969	326	948	97.8328	44.8163	39	27.6
JRIU01000326.1	1	1240	493	1240	100	53.0677	39.2	57.7
JRIU01000325.1	1	1039	816	1039	100	100.017	39.3	59.9
JRIU01000324.1	1	4966	2905	4966	100	80.4472	39.1	55.6
JRIU01000323.1	1	1059	470	1059	100	61.8678	39.3	57.5
JRIU01000322.1	1	3431	1642	3431	100	69.2553	39.3	59.7
JRIU01000321.1	1	2960	2768	2960	100	131.916	39.1	56.7
JRIU01000320.1	1	19759	6697	19759	100	49.2356	39.2	33.3
JRIU01000319.1	1	15446	5964	15445	99.9935	56.051	39.2	29.4
JRIU01000318.1	1	2936	2883	2936	100	133.257	39.1	26.8
JRIU01000317.1	1	1483	3144	1362	91.8409	229.703	39.3	47
JRIU01000316.1	1	1799	825	1799	100	62.4719	39.1	60
JRIU01000315.1	1	1982	2076	1982	100	144.317	39.1	52.7
JRIU01000314.1	1	414	966	414	100	242.101	39.2	33.7
JRIU01000313.1	1	2343	4972	2343	100	206.351	39.1	59.2
JRIU01000312.1	1	1697	336	944	55.6276	27.8533	39.2	49.1
JRIU01000311.1	1	2300	359	2280	99.1304	22.3465	39.1	23.1
JRIU01000310.1	1	386	280	386	100	96.7979	39.2	59.9
JRIU01000309.1	1	4416	2025	4416	100	66.0129	39.2	59.7
JRIU01000308.1	1	318	261	318	100	90.022	39.3	60
JRIU01000307.1	1	368	289	368	100	89.8478	39.2	60
JRIU01000306.1	1	2554	1208	2554	100	64.5121	39.2	59.7
JRIU01000305.1	1	311	145	311	100	62.3023	39	59.7
JRIU01000304.1	1	265	227	265	100	96.7925	39.1	56.1
JRIU01000303.1	1	667	445	667	100	86.8261	39.3	60
JRIU01000302.1	1	2264	1195	2264	100	74.4978	39.2	58.2
JRIU01000301.1	1	557	492	557	100	110.372	39.2	58
JRIU01000300.1	1	272	102	272	100	47.8713	39.2	59.4
JRIU01000299.1	1	260	117	260	100	58.4654	39.3	58.6
JRIU01000298.1	1	896	486	896	100	64.9152	39.3	54.2
JRIU01000297.1	1	3237	2207	3237	100	98.739	39.2	59.7
JRIU01000296.1	1	312	253	312	100	94.0128	39.2	58
JRIU01000295.1	1	1382	608	1382	100	62.3741	39.2	59.4
JRIU01000294.1	1	338	162	338	100	65.3166	39.3	59.8
JRIU01000293.1	1	449	193	449	100	58.7283	38.9	58.1
JRIU01000292.1	1	2913	1581	2913	100	77.0237	39.1	60
JRIU01000291.1	1	214	199	214	100	94.8925	38.9	59.8
JRIU01000290.1	1	225	121	225	100	57.8978	39.1	59.9
JRIU01000289.1	1	219	95	219	100	51.0731	38.9	59
JRIU01000288.1	1	2257	1094	2257	100	68.2681	39.1	58.2
JRIU01000287.1	1	331	139	331	100	53.9033	39.2	59.5
JRIU01000286.1	1	1314	589	1314	100	63.2953	39.2	58
JRIU01000285.1	1	278	132	278	100	55.1511	39.2	58.2
JRIU01000284.1	1	5502	2378	5502	100	62.9168	39.2	59.7
