#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	61714	252053	99.9334	35.9799	39.1	52.2
CM007965.1	1	844051	197349	843449	99.9287	34.5299	39.2	55.9
CM007966.1	1	341087	84085	340578	99.8508	36.3713	39.2	52.5
CM007967.1	1	1575129	369273	1574521	99.9614	34.6217	39.2	54.5
CM007968.1	1	572496	141422	571956	99.9057	36.4716	39.2	56.4
CM007969.1	1	277781	66681	276985	99.7134	35.4309	39.2	54.9
CM007970.1	1	1092105	260507	1091505	99.9451	35.2554	39.2	56.9
CM007971.1	1	564939	139807	564723	99.9618	36.5188	39.2	54.8
CM007972.1	1	430780	105772	430598	99.9578	36.2403	39.2	57.4
CM007973.1	1	762303	185471	762047	99.9664	35.9665	39.2	54.4
CM007974.1	1	683383	162557	682749	99.9072	35.1397	39.2	58.4
CM007975.1	1	1084257	260431	1082465	99.8347	35.4784	39.2	53.4
LYZE01000019.1	1	3688	3267	2957	80.179	128.491	39	0.0214
LYZE01000020.1	1	19305	368164	18783	97.296	2787.98	39	10.3
LYZE01000021.1	1	11673	152321	11304	96.8389	1916.45	39	0.0124
CM007976.1	1	929095	226310	929016	99.9915	35.9907	39.2	56.8
CM007977.1	1	793416	187935	793105	99.9608	34.9916	39.2	55.4
CM007978.1	1	1108329	262131	1107756	99.9483	34.9563	39.2	56.9
CM007979.1	1	986200	236411	985856	99.9651	35.4161	39.2	54.3
CM007980.1	1	6300	10	1220	19.3651	0.238095	39.5	60
CM007981.1	1	94871	196571	94748	99.8704	304.336	39.1	54.1
