#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	63774	252127	99.9627	36.8708	39	52.1
CM007965.1	1	844051	207213	843454	99.9293	36.0218	39	55.9
CM007966.1	1	341087	88299	340605	99.8587	37.9547	39	52.6
CM007967.1	1	1575129	391741	1574529	99.9619	36.4876	39	54.6
CM007968.1	1	572496	147686	570941	99.7284	37.8327	39	56.5
CM007969.1	1	277781	69895	276965	99.7062	36.869	39	55
CM007970.1	1	1092105	275619	1091478	99.9426	37.0459	39	57
CM007971.1	1	564939	144956	564761	99.9685	37.6168	39	54.7
CM007972.1	1	430780	109782	430655	99.971	37.3508	39	57.4
CM007973.1	1	762303	197634	762019	99.9627	38.0483	39	54.5
CM007974.1	1	683383	170686	683052	99.9516	36.6613	39	58.4
CM007975.1	1	1084257	276351	1082208	99.811	37.3918	39	53.6
LYZE01000019.1	1	3688	3781	2960	80.2603	147.052	38.8	0.00688
LYZE01000020.1	1	19305	401477	18857	97.6794	3018.88	38.9	10.2
LYZE01000021.1	1	11673	169053	11457	98.1496	2110.16	38.9	0.0141
CM007976.1	1	929095	238497	929034	99.9934	37.6709	39	56.8
CM007977.1	1	793416	196458	793033	99.9517	36.3318	39	55.4
CM007978.1	1	1108329	277587	1107772	99.9497	36.7634	39	56.9
CM007979.1	1	986200	246854	985474	99.9264	36.731	39	54.4
CM007980.1	1	6300	13116	6300	100	298.734	39	57.9
CM007981.1	1	94871	153217	94785	99.9094	236.346	39	54.2
