#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	60962	252111	99.9564	35.5136	39.1	51.9
CM007965.1	1	844051	200413	843527	99.9379	35.0058	39.1	55.4
CM007966.1	1	341087	84431	340628	99.8654	36.5033	39.1	52.3
CM007967.1	1	1575129	379225	1574363	99.9514	35.521	39.1	53.7
CM007968.1	1	572496	140784	572067	99.9251	36.2733	39.1	56.1
CM007969.1	1	277781	65815	276808	99.6497	34.9542	39.1	55.3
CM007970.1	1	1092105	264763	1091544	99.9486	35.7897	39.1	56.8
CM007971.1	1	564939	140002	564784	99.9726	36.5377	39.1	54.1
CM007972.1	1	430780	104512	430522	99.9401	35.7673	39.1	57.3
CM007973.1	1	762303	189983	761937	99.952	36.7811	39.1	54.5
CM007974.1	1	683383	162766	682937	99.9347	35.1422	39.1	58.4
CM007975.1	1	1084257	269356	1082480	99.8361	36.6402	39.1	52.7
LYZE01000019.1	1	3688	2830	2933	79.5282	111.029	38.9	0
LYZE01000020.1	1	19305	307680	18726	97.0008	2326.49	39	10.3
LYZE01000021.1	1	11673	127530	11439	97.9954	1602.12	39	0.00964
CM007976.1	1	929095	228783	929039	99.994	36.3421	39.1	56.8
CM007977.1	1	793416	187768	793095	99.9595	34.9243	39.1	55.2
CM007978.1	1	1108329	269708	1107741	99.9469	35.9201	39.1	56.3
CM007979.1	1	986200	240321	985778	99.9572	35.9509	39.1	53.9
CM007980.1	1	6300	2	217	3.44444	0.047619	40	60
CM007981.1	1	94871	193172	94638	99.7544	299.123	39.1	54.3
