#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	68437	252141	99.9683	39.9117	39.2	52
CM007965.1	1	844051	224045	843644	99.9518	39.2142	39.2	55.8
CM007966.1	1	341087	95101	340507	99.83	41.1572	39.2	52.5
CM007967.1	1	1575129	416734	1574593	99.966	39.0851	39.2	54.6
CM007968.1	1	572496	157844	571132	99.7617	40.7378	39.2	56.4
CM007969.1	1	277781	74157	277057	99.7394	39.4137	39.2	55.2
CM007970.1	1	1092105	295162	1091600	99.9538	39.952	39.2	56.8
CM007971.1	1	564939	155028	564818	99.9786	40.5209	39.2	54.7
CM007972.1	1	430780	118006	430615	99.9617	40.432	39.2	57.4
CM007973.1	1	762303	213448	762061	99.9683	41.3765	39.2	54.5
CM007974.1	1	683383	180840	682734	99.905	39.0984	39.2	58.3
CM007975.1	1	1084257	294663	1082648	99.8516	40.1516	39.2	53.8
LYZE01000019.1	1	3688	3140	2879	78.064	123.201	39	0.0446
LYZE01000020.1	1	19305	315413	18629	96.4983	2389.33	39.1	10.3
LYZE01000021.1	1	11673	130316	11287	96.6932	1640.9	39.1	0.00969
CM007976.1	1	929095	255199	928970	99.9865	40.6071	39.2	56.8
CM007977.1	1	793416	209078	793007	99.9485	38.9367	39.2	55.3
CM007978.1	1	1108329	296818	1107765	99.9491	39.5847	39.2	56.9
CM007979.1	1	986200	263186	985800	99.9594	39.4292	39.2	54.2
CM007980.1	1	6300	26773	6300	100	612.656	39.2	57.8
CM007981.1	1	94871	108639	94804	99.9294	168.173	39.2	53.9
