Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
CAS-55-1_R1_001	(17.0, 9.0)	(18.0, 117.0)	(19.0, 460.0)	(20.0, 1121.0)	(21.0, 1890.0)	(22.0, 2768.0)	(23.0, 3179.0)	(24.0, 3824.0)	(25.0, 4074.0)	(26.0, 5028.0)	(27.0, 5567.0)	(28.0, 6696.0)	(29.0, 7862.0)	(30.0, 9804.0)	(31.0, 11934.0)	(32.0, 15559.0)	(33.0, 20083.0)	(34.0, 28309.0)	(35.0, 42524.0)	(36.0, 72711.0)	(37.0, 125699.0)	(38.0, 304226.0)	(39.0, 1599334.0)	(40.0, 794643.0)						
CAS-55-1_R2_001	(13.0, 3.0)	(14.0, 2.0)	(15.0, 19.0)	(16.0, 224.0)	(17.0, 1213.0)	(18.0, 3109.0)	(19.0, 5796.0)	(20.0, 10500.0)	(21.0, 14334.0)	(22.0, 14389.0)	(23.0, 12785.0)	(24.0, 13202.0)	(25.0, 13802.0)	(26.0, 15113.0)	(27.0, 16202.0)	(28.0, 18787.0)	(29.0, 20771.0)	(30.0, 24833.0)	(31.0, 28657.0)	(32.0, 35647.0)	(33.0, 43741.0)	(34.0, 59606.0)	(35.0, 83216.0)	(36.0, 135760.0)	(37.0, 230561.0)	(38.0, 478306.0)	(39.0, 1480879.0)	(40.0, 305964.0)		
CAS-55-2_R1_001	(17.0, 5.0)	(18.0, 106.0)	(19.0, 502.0)	(20.0, 1261.0)	(21.0, 2344.0)	(22.0, 3336.0)	(23.0, 4001.0)	(24.0, 4525.0)	(25.0, 5059.0)	(26.0, 6033.0)	(27.0, 6811.0)	(28.0, 8283.0)	(29.0, 9519.0)	(30.0, 12126.0)	(31.0, 14520.0)	(32.0, 18919.0)	(33.0, 24443.0)	(34.0, 34484.0)	(35.0, 51561.0)	(36.0, 88305.0)	(37.0, 153936.0)	(38.0, 365965.0)	(39.0, 1668190.0)	(40.0, 652632.0)						
CAS-55-2_R2_001	(14.0, 3.0)	(15.0, 30.0)	(16.0, 380.0)	(17.0, 1670.0)	(18.0, 4035.0)	(19.0, 7247.0)	(20.0, 14214.0)	(21.0, 19650.0)	(22.0, 19188.0)	(23.0, 17241.0)	(24.0, 17832.0)	(25.0, 18647.0)	(26.0, 19912.0)	(27.0, 21707.0)	(28.0, 24693.0)	(29.0, 27264.0)	(30.0, 32343.0)	(31.0, 37477.0)	(32.0, 46647.0)	(33.0, 57180.0)	(34.0, 76802.0)	(35.0, 105633.0)	(36.0, 168804.0)	(37.0, 275716.0)	(38.0, 534819.0)	(39.0, 1376251.0)	(40.0, 211481.0)			
CAS-55-3_R1_001	(16.0, 1.0)	(17.0, 11.0)	(18.0, 114.0)	(19.0, 537.0)	(20.0, 1388.0)	(21.0, 2648.0)	(22.0, 3710.0)	(23.0, 4326.0)	(24.0, 4972.0)	(25.0, 5745.0)	(26.0, 6666.0)	(27.0, 7536.0)	(28.0, 9094.0)	(29.0, 10735.0)	(30.0, 13451.0)	(31.0, 16316.0)	(32.0, 21047.0)	(33.0, 26991.0)	(34.0, 38351.0)	(35.0, 57705.0)	(36.0, 97751.0)	(37.0, 171157.0)	(38.0, 405460.0)	(39.0, 1821200.0)	(40.0, 718065.0)					
CAS-55-3_R2_001	(13.0, 2.0)	(14.0, 4.0)	(15.0, 43.0)	(16.0, 614.0)	(17.0, 2834.0)	(18.0, 7309.0)	(19.0, 13904.0)	(20.0, 25673.0)	(21.0, 34089.0)	(22.0, 31733.0)	(23.0, 27303.0)	(24.0, 27848.0)	(25.0, 27714.0)	(26.0, 30162.0)	(27.0, 31702.0)	(28.0, 35800.0)	(29.0, 39731.0)	(30.0, 46137.0)	(31.0, 52142.0)	(32.0, 64128.0)	(33.0, 76949.0)	(34.0, 101528.0)	(35.0, 137213.0)	(36.0, 212510.0)	(37.0, 333280.0)	(38.0, 602296.0)	(39.0, 1321525.0)	(40.0, 160804.0)		
CAS-CTRL_R1_001	(16.0, 2.0)	(17.0, 10.0)	(18.0, 133.0)	(19.0, 607.0)	(20.0, 1448.0)	(21.0, 2487.0)	(22.0, 3661.0)	(23.0, 4176.0)	(24.0, 4907.0)	(25.0, 5481.0)	(26.0, 6361.0)	(27.0, 7282.0)	(28.0, 8763.0)	(29.0, 10151.0)	(30.0, 12702.0)	(31.0, 15241.0)	(32.0, 19879.0)	(33.0, 25617.0)	(34.0, 36463.0)	(35.0, 54211.0)	(36.0, 93080.0)	(37.0, 161809.0)	(38.0, 389710.0)	(39.0, 1905619.0)	(40.0, 825570.0)					
CAS-CTRL_R2_001	(14.0, 2.0)	(15.0, 30.0)	(16.0, 395.0)	(17.0, 2063.0)	(18.0, 5425.0)	(19.0, 9877.0)	(20.0, 18325.0)	(21.0, 24576.0)	(22.0, 23712.0)	(23.0, 20848.0)	(24.0, 21421.0)	(25.0, 21514.0)	(26.0, 23482.0)	(27.0, 25510.0)	(28.0, 28647.0)	(29.0, 31822.0)	(30.0, 37571.0)	(31.0, 43005.0)	(32.0, 52932.0)	(33.0, 64593.0)	(34.0, 87107.0)	(35.0, 120588.0)	(36.0, 192413.0)	(37.0, 312890.0)	(38.0, 603462.0)	(39.0, 1575094.0)	(40.0, 248066.0)			
STC-55-1_R1_001	(18.0, 64.0)	(19.0, 337.0)	(20.0, 1073.0)	(21.0, 2037.0)	(22.0, 3051.0)	(23.0, 3516.0)	(24.0, 4228.0)	(25.0, 5014.0)	(26.0, 5728.0)	(27.0, 6678.0)	(28.0, 8091.0)	(29.0, 9485.0)	(30.0, 11810.0)	(31.0, 14280.0)	(32.0, 18802.0)	(33.0, 24220.0)	(34.0, 34812.0)	(35.0, 51941.0)	(36.0, 89601.0)	(37.0, 156366.0)	(38.0, 376822.0)	(39.0, 1714227.0)	(40.0, 684397.0)							
STC-55-1_R2_001	(14.0, 3.0)	(15.0, 49.0)	(16.0, 668.0)	(17.0, 3808.0)	(18.0, 10476.0)	(19.0, 20048.0)	(20.0, 35650.0)	(21.0, 45132.0)	(22.0, 40206.0)	(23.0, 33834.0)	(24.0, 33093.0)	(25.0, 32667.0)	(26.0, 34972.0)	(27.0, 36852.0)	(28.0, 40562.0)	(29.0, 44261.0)	(30.0, 51005.0)	(31.0, 57297.0)	(32.0, 69579.0)	(33.0, 82983.0)	(34.0, 107907.0)	(35.0, 143921.0)	(36.0, 217912.0)	(37.0, 327087.0)	(38.0, 560567.0)	(39.0, 1082642.0)	(40.0, 113399.0)			
STC-55-2_R1_001	(16.0, 1.0)	(17.0, 6.0)	(18.0, 63.0)	(19.0, 349.0)	(20.0, 1030.0)	(21.0, 1920.0)	(22.0, 2743.0)	(23.0, 3233.0)	(24.0, 3840.0)	(25.0, 4348.0)	(26.0, 5080.0)	(27.0, 5896.0)	(28.0, 7065.0)	(29.0, 8161.0)	(30.0, 10146.0)	(31.0, 12329.0)	(32.0, 16285.0)	(33.0, 21135.0)	(34.0, 30395.0)	(35.0, 45209.0)	(36.0, 77944.0)	(37.0, 136132.0)	(38.0, 331004.0)	(39.0, 1677335.0)	(40.0, 790168.0)					
STC-55-2_R2_001	(13.0, 1.0)	(14.0, 6.0)	(15.0, 30.0)	(16.0, 382.0)	(17.0, 1760.0)	(18.0, 4572.0)	(19.0, 8427.0)	(20.0, 15787.0)	(21.0, 21549.0)	(22.0, 20546.0)	(23.0, 17957.0)	(24.0, 18201.0)	(25.0, 18421.0)	(26.0, 20266.0)	(27.0, 21906.0)	(28.0, 24702.0)	(29.0, 27248.0)	(30.0, 32199.0)	(31.0, 37199.0)	(32.0, 45490.0)	(33.0, 56169.0)	(34.0, 74970.0)	(35.0, 103807.0)	(36.0, 165600.0)	(37.0, 270236.0)	(38.0, 529543.0)	(39.0, 1423232.0)	(40.0, 231611.0)		
STC-55-3_R1_001	(17.0, 14.0)	(18.0, 79.0)	(19.0, 364.0)	(20.0, 894.0)	(21.0, 1612.0)	(22.0, 2329.0)	(23.0, 2718.0)	(24.0, 3219.0)	(25.0, 3493.0)	(26.0, 4316.0)	(27.0, 4730.0)	(28.0, 5771.0)	(29.0, 6766.0)	(30.0, 8408.0)	(31.0, 10128.0)	(32.0, 12974.0)	(33.0, 16818.0)	(34.0, 23815.0)	(35.0, 36409.0)	(36.0, 61982.0)	(37.0, 108008.0)	(38.0, 260737.0)	(39.0, 1294475.0)	(40.0, 574873.0)						
STC-55-3_R2_001	(14.0, 1.0)	(15.0, 25.0)	(16.0, 325.0)	(17.0, 1416.0)	(18.0, 3307.0)	(19.0, 5913.0)	(20.0, 11279.0)	(21.0, 15628.0)	(22.0, 14772.0)	(23.0, 12889.0)	(24.0, 13572.0)	(25.0, 13855.0)	(26.0, 15267.0)	(27.0, 16136.0)	(28.0, 18210.0)	(29.0, 20541.0)	(30.0, 23893.0)	(31.0, 27701.0)	(32.0, 34347.0)	(33.0, 41732.0)	(34.0, 56402.0)	(35.0, 77966.0)	(36.0, 125768.0)	(37.0, 206510.0)	(38.0, 407551.0)	(39.0, 1099481.0)	(40.0, 180445.0)			
STC-CTRL_R1_001	(17.0, 9.0)	(18.0, 86.0)	(19.0, 425.0)	(20.0, 1223.0)	(21.0, 2189.0)	(22.0, 3347.0)	(23.0, 3920.0)	(24.0, 4613.0)	(25.0, 5157.0)	(26.0, 6297.0)	(27.0, 7095.0)	(28.0, 8575.0)	(29.0, 10040.0)	(30.0, 12273.0)	(31.0, 14792.0)	(32.0, 19688.0)	(33.0, 25218.0)	(34.0, 36078.0)	(35.0, 53198.0)	(36.0, 90883.0)	(37.0, 158460.0)	(38.0, 378169.0)	(39.0, 1850544.0)	(40.0, 862923.0)						
STC-CTRL_R2_001	(13.0, 2.0)	(14.0, 5.0)	(15.0, 34.0)	(16.0, 440.0)	(17.0, 1929.0)	(18.0, 4709.0)	(19.0, 8879.0)	(20.0, 16926.0)	(21.0, 22834.0)	(22.0, 22245.0)	(23.0, 19439.0)	(24.0, 19876.0)	(25.0, 20306.0)	(26.0, 22348.0)	(27.0, 23795.0)	(28.0, 27226.0)	(29.0, 30153.0)	(30.0, 34989.0)	(31.0, 40345.0)	(32.0, 49848.0)	(33.0, 61355.0)	(34.0, 82012.0)	(35.0, 113178.0)	(36.0, 180406.0)	(37.0, 297221.0)	(38.0, 577172.0)	(39.0, 1590554.0)	(40.0, 286976.0)		
WT-37-55-1_R1_001	(17.0, 8.0)	(18.0, 86.0)	(19.0, 376.0)	(20.0, 1070.0)	(21.0, 2042.0)	(22.0, 3071.0)	(23.0, 3362.0)	(24.0, 4202.0)	(25.0, 4680.0)	(26.0, 5643.0)	(27.0, 6496.0)	(28.0, 7662.0)	(29.0, 8936.0)	(30.0, 11112.0)	(31.0, 13646.0)	(32.0, 17962.0)	(33.0, 23360.0)	(34.0, 32572.0)	(35.0, 48677.0)	(36.0, 82899.0)	(37.0, 146150.0)	(38.0, 347848.0)	(39.0, 1595351.0)	(40.0, 653206.0)						
WT-37-55-1_R2_001	(11.0, 1.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 3.0)	(15.0, 33.0)	(16.0, 367.0)	(17.0, 2067.0)	(18.0, 4979.0)	(19.0, 9693.0)	(20.0, 18680.0)	(21.0, 24983.0)	(22.0, 23730.0)	(23.0, 20593.0)	(24.0, 21047.0)	(25.0, 21688.0)	(26.0, 23489.0)	(27.0, 24617.0)	(28.0, 28205.0)	(29.0, 31053.0)	(30.0, 35931.0)	(31.0, 41562.0)	(32.0, 50851.0)	(33.0, 62307.0)	(34.0, 82793.0)	(35.0, 113518.0)	(36.0, 177600.0)	(37.0, 280434.0)	(38.0, 520302.0)	(39.0, 1232046.0)	(40.0, 167842.0)
WT-37-55-2_R1_001	(17.0, 10.0)	(18.0, 77.0)	(19.0, 407.0)	(20.0, 1251.0)	(21.0, 2341.0)	(22.0, 3534.0)	(23.0, 4002.0)	(24.0, 4744.0)	(25.0, 5252.0)	(26.0, 6158.0)	(27.0, 7147.0)	(28.0, 8537.0)	(29.0, 10161.0)	(30.0, 12240.0)	(31.0, 14814.0)	(32.0, 19199.0)	(33.0, 24832.0)	(34.0, 35598.0)	(35.0, 52315.0)	(36.0, 89274.0)	(37.0, 155802.0)	(38.0, 368160.0)	(39.0, 1718867.0)	(40.0, 750833.0)						
WT-37-55-2_R2_001	(14.0, 5.0)	(15.0, 48.0)	(16.0, 697.0)	(17.0, 3331.0)	(18.0, 8187.0)	(19.0, 15920.0)	(20.0, 29330.0)	(21.0, 36837.0)	(22.0, 33676.0)	(23.0, 28669.0)	(24.0, 28621.0)	(25.0, 28702.0)	(26.0, 30857.0)	(27.0, 32391.0)	(28.0, 36274.0)	(29.0, 39550.0)	(30.0, 45758.0)	(31.0, 51933.0)	(32.0, 62991.0)	(33.0, 75842.0)	(34.0, 99987.0)	(35.0, 133530.0)	(36.0, 205915.0)	(37.0, 318005.0)	(38.0, 569876.0)	(39.0, 1233058.0)	(40.0, 145565.0)			
WT-37-55-3_R1_001	(17.0, 7.0)	(18.0, 103.0)	(19.0, 472.0)	(20.0, 1150.0)	(21.0, 2062.0)	(22.0, 2942.0)	(23.0, 3409.0)	(24.0, 4034.0)	(25.0, 4644.0)	(26.0, 5325.0)	(27.0, 6130.0)	(28.0, 7430.0)	(29.0, 8637.0)	(30.0, 10975.0)	(31.0, 13222.0)	(32.0, 17234.0)	(33.0, 22264.0)	(34.0, 31587.0)	(35.0, 47274.0)	(36.0, 81184.0)	(37.0, 141301.0)	(38.0, 337194.0)	(39.0, 1560266.0)	(40.0, 640511.0)						
WT-37-55-3_R2_001	(12.0, 1.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 48.0)	(16.0, 423.0)	(17.0, 2017.0)	(18.0, 4924.0)	(19.0, 9180.0)	(20.0, 16949.0)	(21.0, 23099.0)	(22.0, 21952.0)	(23.0, 19010.0)	(24.0, 19045.0)	(25.0, 19537.0)	(26.0, 21205.0)	(27.0, 22558.0)	(28.0, 25714.0)	(29.0, 28398.0)	(30.0, 33192.0)	(31.0, 38228.0)	(32.0, 46763.0)	(33.0, 57208.0)	(34.0, 76404.0)	(35.0, 104358.0)	(36.0, 164280.0)	(37.0, 264174.0)	(38.0, 500373.0)	(39.0, 1244775.0)	(40.0, 185537.0)	
WT-CTRL_R1_001	(17.0, 1.0)	(18.0, 53.0)	(19.0, 289.0)	(20.0, 988.0)	(21.0, 1978.0)	(22.0, 2947.0)	(23.0, 3399.0)	(24.0, 3919.0)	(25.0, 4476.0)	(26.0, 5365.0)	(27.0, 6147.0)	(28.0, 7609.0)	(29.0, 8620.0)	(30.0, 10814.0)	(31.0, 13213.0)	(32.0, 17493.0)	(33.0, 22074.0)	(34.0, 32626.0)	(35.0, 48388.0)	(36.0, 82969.0)	(37.0, 145308.0)	(38.0, 353201.0)	(39.0, 1645796.0)	(40.0, 664263.0)						
