sample,sterol,concentration,std_dev
CAS_5_37C,Ergosterol,13.0,1.0
CAS_5_37C,Stigmasta-5_22-dien-3-ol_acetate,28.0,2.0
CAS_5_37C,Ergosta-7-en-3-ol,3.0,0.5
CAS_5_37C,Lanosterol,3.0,0.2
CAS_5_37C,Cycloartenol,7.0,0.3
CAS_55_37C,Ergosterol,6.5,1.5
CAS_55_37C,Fecosterol,10.0,3.0
CAS_55_37C,Ergost-7-en-3beta-ol,2.5,0.5
CAS_55_37C,Lanosterol,2.0,0.3
STC_5,Ergosterol,2.8,0.5
STC_5,Tetrahymanol,0.5,0.2
STC_55,Ergosterol,1.7,0.4
STC_55,Tetrahymanol,0.8,0.2
WT_5_37C,Ergosterol,9.0,1.2
WT_5_37C,Zymosterol,2.0,0.5
WT_5_MA,Ergosterol,4.4,0.6
WT_55_37C,Ergosterol,12.5,1.5
WT_55_37C,Zymosterol,7.0,0.4
WT_55_37C,Fecosterol,2.0,0.3
WT_55_MA,Ergosterol,2.0,0.4
