gene_id	scaffold_id	start	end	strand	product	note
W3030A00100	scaffold_1	2096	4010	+	hypothetical protein	None
W3030A00110	scaffold_1	4121	6149	-	hypothetical protein	None
W3030A00120	scaffold_1	6454	8188	+	hypothetical protein	None
W3030A00130	scaffold_1	8591	10481	-	hypothetical protein	None
W3030A00140	scaffold_1	11547	12477	-	hypothetical protein	None
W3030A00150	scaffold_1	13177	13837	+	hypothetical protein	None
W3030A00160	scaffold_1	14066	15230	-	hypothetical protein	None
W3030A00170	scaffold_1	16384	17191	+	hypothetical protein	None
W3030A00180	scaffold_1	17362	18382	-	hypothetical protein	None
W3030A00190	scaffold_1	18752	19526	+	hypothetical protein	None
W3030A00200	scaffold_1	19657	21010	+	hypothetical protein	None
W3030A00210	scaffold_1	23570	26228	+	hypothetical protein	None
W3030A00220	scaffold_1	26542	27730	-	hypothetical protein	None
W3030A00230	scaffold_1	28289	29669	+	hypothetical protein	None
W3030A00240	scaffold_1	30091	32116	+	hypothetical protein	None
W3030A00250	scaffold_1	32724	33177	+	hypothetical protein	None
W3030A00260	scaffold_1	33864	35103	+	hypothetical protein	None
W3030A00270	scaffold_1	36132	37281	+	hypothetical protein	None
W3030A00280	scaffold_1	38298	41319	+	hypothetical protein	None
W3030A00290	scaffold_1	42267	43602	+	hypothetical protein	None
W3030A00300	scaffold_1	44041	45490	+	hypothetical protein	None
W3030A00310	scaffold_1	45911	46097	-	hypothetical protein	None
W3030A00320	scaffold_1	46468	46942	-	hypothetical protein	None
W3030A00330	scaffold_1	47618	49079	-	hypothetical protein	None
W3030A00340	scaffold_1	50288	51524	-	hypothetical protein	None
W3030A00350	scaffold_1	52027	52885	-	hypothetical protein	None
W3030A00360	scaffold_1	53404	54181	-	hypothetical protein	None
W3030A00370	scaffold_1	54560	57188	+	hypothetical protein	None
W3030A00380	scaffold_1	57293	58508	-	hypothetical protein	None
W3030A00390	scaffold_1	58734	59601	-	hypothetical protein	None
W3030A00400	scaffold_1	59844	62214	+	hypothetical protein	None
W3030A00410	scaffold_1	62862	65112	+	hypothetical protein	None
W3030A00420	scaffold_1	65424	67533	+	hypothetical protein	None
W3030A00430	scaffold_1	68873	70178	+	hypothetical protein	None
W3030A00440	scaffold_1	70526	70736	-	hypothetical protein	None
W3030A00450	scaffold_1	71264	73124	-	hypothetical protein	None
W3030A00460	scaffold_1	75528	76416	+	hypothetical protein	None
W3030A00470	scaffold_1	77126	78896	-	hypothetical protein	None
W3030A00480	scaffold_1	79142	80168	-	hypothetical protein	None
W3030A00490	scaffold_1	80386	81730	-	hypothetical protein	None
W3030A00500	scaffold_1	82236	83937	+	hypothetical protein	None
W3030A00510	scaffold_1	84091	86239	+	hypothetical protein	None
W3030A00520	scaffold_1	86509	87151	+	hypothetical protein	None
W3030A00530	scaffold_1	87991	88264	-	hypothetical protein	None
W3030A00540	scaffold_1	89104	89425	+	hypothetical protein	None
W3030A00550	scaffold_1	89629	91822	-	hypothetical protein	None
W3030A00560	scaffold_1	93066	95580	-	hypothetical protein	None
W3030A00570	scaffold_1	96134	98537	-	hypothetical protein	None
W3030A00580	scaffold_1	98864	99488	+	hypothetical protein	None
W3030A00590	scaffold_1	100001	102275	-	hypothetical protein	None
W3030A00600	scaffold_1	102992	103406	-	hypothetical protein	None
W3030A00610	scaffold_1	106085	110270	-	hypothetical protein	None
W3030A00620	scaffold_1	112998	113754	+	hypothetical protein	None
