Sample	Total_Variants	SNPs	Indels
CAS-55-1	     800	     691	     109
CAS-55-2	     834	     732	     102
CAS-55-3	     914	     799	     115
CAS-CTRL	     830	     718	     112
STC-55-1	     872	     767	     105
STC-55-2	     856	     742	     114
STC-55-3	     833	     724	     109
STC-CTRL	     952	     842	     110
WT-37-55-1	     932	     831	     101
WT-37-55-2	     932	     821	     111
WT-37-55-3	     908	     790	     118
WT-CTRL	     830	     720	     110
WTA-55-1	     880	     777	     103
WTA-55-2	     907	     807	     100
WTA-55-3	     893	     776	     117
