sample_name,group,condition,r1_file,r2_file
WT-CTRL,WT,control,WT-CTRL_R1_001.fastq.gz,WT-CTRL_R2_001.fastq.gz
WT-37-55-1,WT,treatment,WT-37-55-1_R1_001.fastq.gz,WT-37-55-1_R2_001.fastq.gz
WT-37-55-2,WT,treatment,WT-37-55-2_R1_001.fastq.gz,WT-37-55-2_R2_001.fastq.gz
WT-37-55-3,WT,treatment,WT-37-55-3_R1_001.fastq.gz,WT-37-55-3_R2_001.fastq.gz
WTA-55-1,WTA,treatment,WTA-55-1_R1_001.fastq.gz,WTA-55-1_R2_001.fastq.gz
WTA-55-2,WTA,treatment,WTA-55-2_R1_001.fastq.gz,WTA-55-2_R2_001.fastq.gz
WTA-55-3,WTA,treatment,WTA-55-3_R1_001.fastq.gz,WTA-55-3_R2_001.fastq.gz
STC-CTRL,STC,control,STC-CTRL_R1_001.fastq.gz,STC-CTRL_R2_001.fastq.gz
STC-55-1,STC,treatment,STC-55-1_R1_001.fastq.gz,STC-55-1_R2_001.fastq.gz
STC-55-2,STC,treatment,STC-55-2_R1_001.fastq.gz,STC-55-2_R2_001.fastq.gz
STC-55-3,STC,treatment,STC-55-3_R1_001.fastq.gz,STC-55-3_R2_001.fastq.gz
CAS-CTRL,CAS,control,CAS-CTRL_R1_001.fastq.gz,CAS-CTRL_R2_001.fastq.gz
CAS-55-1,CAS,treatment,CAS-55-1_R1_001.fastq.gz,CAS-55-1_R2_001.fastq.gz
CAS-55-2,CAS,treatment,CAS-55-2_R1_001.fastq.gz,CAS-55-2_R2_001.fastq.gz
CAS-55-3,CAS,treatment,CAS-55-3_R1_001.fastq.gz,CAS-55-3_R2_001.fastq.gz
