osh_gene	osh_id	erg_gene	erg_id	scaffold	distance	distance_kb	direction	zone
W3030H00560		ERG24		w303_scaffold_8/w303_scaffold_17			different_scaffold	Different Scaffold
W3030H00560		ERG11		w303_scaffold_8	13654.0	13.65	upstream	Intermediate
W3030H00560		ERG7		w303_scaffold_8	145072.0	145.07	upstream	Distant
W3030H00560		ERG7		w303_scaffold_8	147638.0	147.64	upstream	Distant
W3030H00560		ERG9		w303_scaffold_8	390857.0	390.86	upstream	Distant
W3030H00560		ERG6		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H00560		ERG5		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H00560		ERG2		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H00560		ERG3		w303_scaffold_8/w303_scaffold_12			different_scaffold	Different Scaffold
W3030H00560		ERG4		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H00560		ERG25		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H00560		ERG1		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H00570		ERG24		w303_scaffold_8/w303_scaffold_17			different_scaffold	Different Scaffold
W3030H00570		ERG11		w303_scaffold_8	12900.0	12.9	upstream	Intermediate
W3030H00570		ERG7		w303_scaffold_8	144318.0	144.32	upstream	Distant
W3030H00570		ERG7		w303_scaffold_8	146884.0	146.88	upstream	Distant
W3030H00570		ERG9		w303_scaffold_8	390103.0	390.1	upstream	Distant
W3030H00570		ERG6		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H00570		ERG5		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H00570		ERG2		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H00570		ERG3		w303_scaffold_8/w303_scaffold_12			different_scaffold	Different Scaffold
W3030H00570		ERG4		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H00570		ERG25		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H00570		ERG1		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H01450		ERG24		w303_scaffold_8/w303_scaffold_17			different_scaffold	Different Scaffold
W3030H01450		ERG11		w303_scaffold_8	133310.0	133.31	downstream	Distant
W3030H01450		ERG7		w303_scaffold_8	1289.0	1.29	downstream	Buffer
W3030H01450		ERG7		w303_scaffold_8	742.0	0.74	downstream	Buffer
W3030H01450		ERG9		w303_scaffold_8	239311.0	239.31	upstream	Distant
W3030H01450		ERG6		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H01450		ERG5		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H01450		ERG2		w303_scaffold_8/w303_scaffold_16			different_scaffold	Different Scaffold
W3030H01450		ERG3		w303_scaffold_8/w303_scaffold_12			different_scaffold	Different Scaffold
W3030H01450		ERG4		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
