adaptation,sterol,concentration,concentration,concentration,concentration
,,mean,std,min,max
Low Oxygen,Ergosterol,2.725,1.2093386622447826,1.7,4.4
Low Oxygen,Tetrahymanol,0.65,0.21213203435596428,0.5,0.8
None,Ergosterol,9.0,,9.0,9.0
None,Zymosterol,2.0,,2.0,2.0
Temperature,Cycloartenol,7.0,,7.0,7.0
Temperature,Ergost-7-en-3beta-ol,2.5,,2.5,2.5
Temperature,Ergosta-7-en-3-ol,3.0,,3.0,3.0
Temperature,Ergosterol,10.666666666666666,3.6170890690351176,6.5,13.0
Temperature,Fecosterol,6.0,5.656854249492381,2.0,10.0
Temperature,Lanosterol,2.5,0.7071067811865476,2.0,3.0
Temperature,Stigmasta-5_22-dien-3-ol_acetate,28.0,,28.0,28.0
Temperature,Zymosterol,7.0,,7.0,7.0
