treatment,sterol,concentration,concentration,concentration,concentration,std_dev
,,mean,std,min,max,mean
CAS,Cycloartenol,7.0,,7.0,7.0,0.3
CAS,Ergost-7-en-3beta-ol,2.5,,2.5,2.5,0.5
CAS,Ergosta-7-en-3-ol,3.0,,3.0,3.0,0.5
CAS,Ergosterol,9.75,4.596194077712559,6.5,13.0,1.25
CAS,Fecosterol,10.0,,10.0,10.0,3.0
CAS,Lanosterol,2.5,0.7071067811865476,2.0,3.0,0.25
CAS,Stigmasta-5_22-dien-3-ol_acetate,28.0,,28.0,28.0,2.0
STC,Ergosterol,2.25,0.7778174593052023,1.7,2.8,0.45
STC,Tetrahymanol,0.65,0.21213203435596428,0.5,0.8,0.2
WT,Ergosterol,6.975,4.690682253148256,2.0,12.5,0.9249999999999999
WT,Fecosterol,2.0,,2.0,2.0,0.3
WT,Zymosterol,4.5,3.5355339059327378,2.0,7.0,0.45
