sample,treatment,adaptation,gene_status,variant_count,precursor,ergosterol_conc,precursor_conc,erg_to_precursor_ratio,log2_ratio
CAS_5_37C,CAS,Temperature,Modified,16,Stigmasta-5_22-dien-3-ol_acetate,13.0,28.0,0.4642857142857143,-1.106915203916512
CAS_5_37C,CAS,Temperature,Modified,16,Ergosta-7-en-3-ol,13.0,3.0,4.333333333333333,2.1154772174199357
CAS_5_37C,CAS,Temperature,Modified,16,Lanosterol,13.0,3.0,4.333333333333333,2.1154772174199357
CAS_5_37C,CAS,Temperature,Modified,16,Cycloartenol,13.0,7.0,1.8571428571428572,0.8930847960834881
CAS_55_37C,CAS,Temperature,Modified,16,Fecosterol,6.5,10.0,0.65,-0.6214883767462701
CAS_55_37C,CAS,Temperature,Modified,16,Ergost-7-en-3beta-ol,6.5,2.5,2.6,1.3785116232537298
CAS_55_37C,CAS,Temperature,Modified,16,Lanosterol,6.5,2.0,3.25,1.7004397181410922
STC_5,STC,Low Oxygen,Modified,16,Tetrahymanol,2.8,0.5,5.6,2.4854268271702415
STC_55,STC,Low Oxygen,Modified,16,Tetrahymanol,1.7,0.8,2.125,1.0874628412503393
WT_5_37C,WT,None,Non-Modified,4,Zymosterol,9.0,2.0,4.5,2.169925001442312
WT_55_37C,WT,Temperature,Non-Modified,12,Zymosterol,12.5,7.0,1.7857142857142858,0.8365012677171206
WT_55_37C,WT,Temperature,Non-Modified,12,Fecosterol,12.5,2.0,6.25,2.643856189774725
