Gene_Type,Region,Treatment1,Treatment2,T1_Count,T1_Total,T1_Percentage,T2_Count,T2_Total,T2_Percentage,Odds_Ratio,P_Value,Q_Value
OSH,distal_promoter,WT-37,WTA,3,18,16.666666666666664,3,15,20.0,0.8,1.0,1.0
OSH,other,WT-37,WTA,12,18,66.66666666666666,9,15,60.0,1.3333333333333333,0.7306572520191517,1.0
OSH,core_promoter,WT-37,WTA,3,18,16.666666666666664,3,15,20.0,0.8,1.0,1.0
OSH,distal_promoter,WT-37,STC,3,18,16.666666666666664,3,17,17.647058823529413,0.9333333333333333,1.0,1.0
OSH,other,WT-37,STC,12,18,66.66666666666666,11,17,64.70588235294117,1.0909090909090908,1.0,1.0
OSH,core_promoter,WT-37,STC,3,18,16.666666666666664,3,17,17.647058823529413,0.9333333333333333,1.0,1.0
OSH,distal_promoter,WT-37,CAS,3,18,16.666666666666664,3,17,17.647058823529413,0.9333333333333333,1.0,1.0
OSH,other,WT-37,CAS,12,18,66.66666666666666,11,17,64.70588235294117,1.0909090909090908,1.0,1.0
OSH,core_promoter,WT-37,CAS,3,18,16.666666666666664,3,17,17.647058823529413,0.9333333333333333,1.0,1.0
OSH,distal_promoter,WTA,STC,3,15,20.0,3,17,17.647058823529413,1.1666666666666667,1.0,1.0
OSH,other,WTA,STC,9,15,60.0,11,17,64.70588235294117,0.8181818181818182,1.0,1.0
OSH,core_promoter,WTA,STC,3,15,20.0,3,17,17.647058823529413,1.1666666666666667,1.0,1.0
OSH,distal_promoter,WTA,CAS,3,15,20.0,3,17,17.647058823529413,1.1666666666666667,1.0,1.0
OSH,other,WTA,CAS,9,15,60.0,11,17,64.70588235294117,0.8181818181818182,1.0,1.0
OSH,core_promoter,WTA,CAS,3,15,20.0,3,17,17.647058823529413,1.1666666666666667,1.0,1.0
OSH,distal_promoter,STC,CAS,3,17,17.647058823529413,3,17,17.647058823529413,1.0,1.0,1.0
OSH,other,STC,CAS,11,17,64.70588235294117,11,17,64.70588235294117,1.0,1.0,1.0
OSH,core_promoter,STC,CAS,3,17,17.647058823529413,3,17,17.647058823529413,1.0,1.0,1.0
