Gene_Type,Region,Treatment1,Treatment2,T1_Count,T1_Total,T1_Percentage,T2_Count,T2_Total,T2_Percentage,Odds_Ratio,P_Value,Q_Value
other,upstream_regulatory,WT-37,WTA,1628,5913,27.532555386436663,1584,5719,27.697149851372615,0.9917995591857902,0.8519230580086257,1.0
other,proximal_promoter,WT-37,WTA,512,5913,8.658887197699983,514,5719,8.987585242175205,0.9599605779877916,0.5345959796166316,1.0
other,distal_promoter,WT-37,WTA,530,5913,8.963301200744123,517,5719,9.040041965378563,0.9906752075360105,0.8968987271965216,1.0
other,other,WT-37,WTA,2197,5913,37.15542026044309,2110,5719,36.89456198636125,1.0112505675470236,0.773328789833267,1.0
other,downstream_regulatory,WT-37,WTA,624,5913,10.553018772196854,574,5719,10.03671970624235,1.0575100646071691,0.3602668840646637,1.0
other,core_promoter,WT-37,WTA,304,5913,5.141214273634365,295,5719,5.1582444483301275,0.996519516152914,0.9665644916613201,1.0
other,5_UTR,WT-37,WTA,74,5913,1.2514797902925756,78,5719,1.363874803287288,0.9165470026918905,0.6245491095043638,1.0
other,3_UTR,WT-37,WTA,44,5913,0.7441231185523423,47,5719,0.8218219968525966,0.9047465406046193,0.6743391438947333,1.0
other,upstream_regulatory,WT-37,STC,1628,5913,27.532555386436663,1612,5882,27.405644338660316,1.0063902296371148,0.8851929982458887,1.0
other,proximal_promoter,WT-37,STC,512,5913,8.658887197699983,515,5882,8.755525331519891,0.9879162974134599,0.8703022916345258,1.0
other,distal_promoter,WT-37,STC,530,5913,8.963301200744123,529,5882,8.993539612376743,0.9963067235050342,0.9743074322970459,1.0
other,other,WT-37,STC,2197,5913,37.15542026044309,2189,5882,37.21523291397484,0.9974425656022553,0.9544236201592571,1.0
other,downstream_regulatory,WT-37,STC,624,5913,10.553018772196854,607,5882,10.31961917715063,1.0252854530384314,0.6954358733398333,1.0
other,core_promoter,WT-37,STC,304,5913,5.141214273634365,309,5882,5.253315198911935,0.9775043691339796,0.803490824618595,1.0
other,5_UTR,WT-37,STC,74,5913,1.2514797902925756,76,5882,1.292077524651479,0.9681812855481743,0.8696839240565601,1.0
other,3_UTR,WT-37,STC,44,5913,0.7441231185523423,45,5882,0.7650459027541652,0.9724465648132372,0.9156171728317313,1.0
other,upstream_regulatory,WT-37,CAS,1628,5913,27.532555386436663,1618,5841,27.700736175312446,0.9916219658364981,0.8527013385271991,1.0
other,proximal_promoter,WT-37,CAS,512,5913,8.658887197699983,520,5841,8.902585173771614,0.9700311908051216,0.6482702006936762,1.0
other,distal_promoter,WT-37,CAS,530,5913,8.963301200744123,531,5841,9.090909090909092,0.984581088612298,0.8217667951475108,1.0
other,other,WT-37,CAS,2197,5913,37.15542026044309,2170,5841,37.15117274439309,1.0001819259597307,1.0,1.0
other,downstream_regulatory,WT-37,CAS,624,5913,10.553018772196854,585,5841,10.015408320493066,1.0600113442994894,0.34659347194797485,1.0
other,core_promoter,WT-37,CAS,304,5913,5.141214273634365,293,5841,5.016264338298237,1.0262589925868775,0.7688236742398744,1.0
other,5_UTR,WT-37,CAS,74,5913,1.2514797902925756,81,5841,1.386748844375963,0.9012197674639874,0.5715294205717887,1.0
other,3_UTR,WT-37,CAS,44,5913,0.7441231185523423,43,5841,0.7361753124464989,1.010877016408643,1.0,1.0
other,upstream_regulatory,WTA,STC,1584,5719,27.697149851372615,1612,5882,27.405644338660316,1.014711309675619,0.7394884105151631,1.0
other,proximal_promoter,WTA,STC,514,5719,8.987585242175205,515,5882,8.755525331519891,1.0291217369407684,0.671214979457141,1.0
other,distal_promoter,WTA,STC,517,5719,9.040041965378563,529,5882,8.993539612376743,1.005684522965938,0.9483091626262604,1.0
other,other,WTA,STC,2110,5719,36.89456198636125,2189,5882,37.21523291397484,0.986345617606661,0.7293034680941843,1.0
