Treatment,Region,Count
CAS,3_UTR,43
CAS,5_UTR,84
CAS,core_promoter,302
CAS,distal_promoter,537
CAS,downstream_regulatory,591
CAS,other,2191
CAS,proximal_promoter,523
CAS,upstream_regulatory,1618
CAS_CTRL,3_UTR,15
CAS_CTRL,5_UTR,26
CAS_CTRL,core_promoter,102
CAS_CTRL,distal_promoter,174
CAS_CTRL,downstream_regulatory,202
CAS_CTRL,other,704
CAS_CTRL,proximal_promoter,171
CAS_CTRL,upstream_regulatory,526
STC,3_UTR,45
STC,5_UTR,79
STC,core_promoter,318
STC,distal_promoter,535
STC,downstream_regulatory,613
STC,other,2209
STC,proximal_promoter,518
STC,upstream_regulatory,1612
STC_CTRL,3_UTR,15
STC_CTRL,5_UTR,29
STC_CTRL,core_promoter,101
STC_CTRL,distal_promoter,176
STC_CTRL,downstream_regulatory,194
STC_CTRL,other,702
STC_CTRL,proximal_promoter,167
STC_CTRL,upstream_regulatory,515
WT-37,3_UTR,44
WT-37,5_UTR,77
WT-37,core_promoter,312
WT-37,distal_promoter,536
WT-37,downstream_regulatory,630
WT-37,other,2218
WT-37,proximal_promoter,515
WT-37,upstream_regulatory,1628
WTA,3_UTR,47
WTA,5_UTR,81
WTA,core_promoter,304
WTA,distal_promoter,523
WTA,downstream_regulatory,580
WTA,other,2128
WTA,proximal_promoter,517
WTA,upstream_regulatory,1584
WT_CTRL,3_UTR,15
WT_CTRL,5_UTR,25
WT_CTRL,core_promoter,106
WT_CTRL,distal_promoter,169
WT_CTRL,downstream_regulatory,202
WT_CTRL,other,691
WT_CTRL,proximal_promoter,162
WT_CTRL,upstream_regulatory,511
